timestamp,city,temperature,description
2026-06-13T21:20:40.130Z,undefined,15.67,overcast clouds
2026-06-13T23:10:34.956Z,undefined,15.11,overcast clouds
2026-06-14T04:40:51.280Z,undefined,14.56,overcast clouds
2026-06-14T09:42:36.227Z,undefined,20.67,scattered clouds
2026-06-14T12:01:13.531Z,undefined,20.11,scattered clouds
2026-06-14T15:49:54.842Z,undefined,21.78,overcast clouds
2026-06-14T17:23:32.517Z,undefined,20.67,overcast clouds
2026-06-14T19:42:50.796Z,undefined,17.34,overcast clouds
2026-06-14T21:17:55.790Z,undefined,16.23,overcast clouds
2026-06-14T23:12:29.175Z,undefined,15.67,broken clouds
2026-06-15T04:54:21.276Z,undefined,14.56,clear sky
2026-06-15T12:26:03.457Z,undefined,25.11,clear sky
2026-06-15T18:42:24.050Z,undefined,17.91,clear sky
2026-06-15T22:22:30.742Z,undefined,14.58,light rain
2026-06-16T04:51:29.163Z,undefined,18.45,clear sky
2026-06-16T11:20:24.893Z,undefined,27.89,clear sky
2026-06-16T17:03:28.509Z,undefined,25.25,few clouds
2026-06-16T20:57:35.663Z,undefined,17.91,scattered clouds
2026-06-16T23:26:02.990Z,undefined,20.11,few clouds
2026-06-17T04:41:28.870Z,undefined,19,clear sky
2026-06-17T11:05:08.179Z,undefined,29.56,clear sky
2026-06-17T15:49:18.465Z,undefined,29.56,broken clouds
2026-06-17T18:24:19.688Z,undefined,20.69,broken clouds
2026-06-17T22:03:51.824Z,undefined,19.58,scattered clouds
2026-06-18T04:24:33.194Z,undefined,19.56,broken clouds
2026-06-18T10:26:42.285Z,undefined,28.45,scattered clouds
2026-06-18T15:36:25.821Z,undefined,16.11,overcast clouds
2026-06-18T18:28:19.900Z,undefined,17.91,overcast clouds
2026-06-18T22:16:43.489Z,undefined,16.78,light rain
2026-06-19T04:52:00.243Z,undefined,15.11,light rain
2026-06-19T10:44:56.126Z,undefined,19.56,overcast clouds
2026-06-19T15:29:38.753Z,undefined,18.45,broken clouds
2026-06-19T18:02:19.330Z,undefined,16.23,scattered clouds
2026-06-19T21:12:36.029Z,undefined,16.78,few clouds
2026-06-19T23:02:17.732Z,undefined,16.23,few clouds
2026-06-20T04:06:53.368Z,undefined,15.67,broken clouds
2026-06-20T09:24:55.944Z,undefined,22.34,broken clouds
